timestamp,from_address,to_address,value,status
2019-01-01 00:00:18,C1231006815,Merchant-FRAUDO87637,80.20,completed
2019-01-01 00:00:23,C1666544295,Merchant-FRAUDO87637,149.62,completed
2019-01-01 00:01:06,C1305486145,Merchant-MOB32546243,1.00,completed
2019-01-01 00:01:17,C1305486145,Merchant-MOB32546243,2.75,completed
2019-01-01 00:01:24,C1181349026,Merchant-MOB32546243,5.00,completed
2019-01-01 00:01:36,C1376360943,Merchant-MOB32546243,2.95,completed
2019-01-01 00:02:03,C2070889889,Merchant-MOB32546243,1.29,completed
2019-01-01 00:02:21,C1429876807,Merchant-MOB32546243,5.12,completed
2019-01-01 00:02:35,C1570470609,Merchant-FRAUDO87637,46.44,completed
2019-01-01 00:03:33,C1604242344,Merchant-MOB32546243,2.20,completed
2019-01-01 00:04:13,C2004099473,Merchant-MOB32546243,16.95,completed
2019-01-01 00:04:44,C1570470609,Merchant-MOB32546243,4.95,completed
2019-01-01 00:05:34,C1181349026,Merchant-AMA2984728,29.95,completed
2019-01-01 00:06:10,C1376360943,Merchant-MOB32546243,19.99,completed
2019-01-01 00:06:25,C675355092,Merchant-RECUR84756,12.99,completed
2019-01-01 00:06:45,C1570470609,Merchant-MOB32546243,5.50,completed
2019-01-01 00:07:01,C1376360943,Merchant-SERV32456,69.12,completed
2019-01-01 00:07:44,C1427437152,Merchant-MOB32546243,68.61,completed
2019-01-01 00:08:13,C1140546986,Merchant-MOB32546243,6.35,completed
2019-01-01 00:08:29,C1912850431,Merchant-FRAUDO87637,62.74,completed
2019-01-01 00:09:06,C1732738910,Merchant-COFFEE2343,4.95,completed
2019-01-01 00:09:50,C675355092,Merchant-FRAUDO87637,58.65,completed
2019-01-01 00:10:11,C1570470609,Merchant-MOB32546243,5.64,completed
2019-01-01 00:10:25,C1931504159,Merchant-MOB32546243,10.42,completed
2019-01-01 00:10:40,C1979654554,Merchant-MOB32546243,2.99,completed
2019-01-01 00:11:01,C675355092,Merchant-SERV32456,168.95,completed
2019-01-01 00:11:33,C1979654554,Merchant-SERV32456,77.23,completed
2019-01-01 00:12:26,C913371580,Merchant-MOB32546243,5.49,completed
2019-01-01 00:12:46,C1931504159,Merchant-RECUR84756,12.99,completed
